benchmark:  PikeFinance
now works on benchmark:  PikeFinance  contract:  0xfc7599cffea9de127a9f9c748ccb451a34d2f063
total transactions:  9213
total:  9213
now finish:  6037  total:  9213
no access for tx:  0x90a87b8d9a7fb7fb844e26bb0258414a6533264f025371917c7de7ac3c2d1246
no access for tx:  0x7810e9af347a5353f7f81068324f698fba0d79b1f584ccc11591ca6b93a195e6
no access for tx:  0x0d10ddb900b9ac164f67c19d7f9d01a653b8180756ba384055818ed83bc04aa4
no access for tx:  0xdc99d1a9c9edef7c457873adf5ddeb98a5f985d7fda0f777862ae43d19406f7e
no access for tx:  0x88beec419714714974eb215f00e9c2393e8951ed680227788d75919609348ef6
no access for tx:  0x1ee8aad2e741f42fdd5b29d5fff749026197a9c108a8f50e9223cb68b23777ea
no access for tx:  0x6d5ee12c650b0a662a938e4f2329dd53f4f9793916090d3f289f5cc796d25e0a
no access for tx:  0xd265332847ed05cdfc99df54e77e6d25f30896411a40e536c166bf67646ecf4c
no access for tx:  0x664600ba35ef97e4a2da500432e57b86de6a656a91ddbd24e19cdf7d4b4dda34
no access for tx:  0x17b1bbc713aa2862522f7a1b816d1b9c2050465da1a4d23c3292682d74e2b27f
no access for tx:  0x28c481e403eabee37bedc1ea5c6cb3f1ce1ed9e33633175fdd194691147c7a35
no access for tx:  0x610acdf0f79da210fe74a5fae5f1de99d2679cc6a4fcec5183e5da856d9bbbc5
no access for tx:  0xf08f14d5786c814d0533e1144281a2d570d1e601a4d66448978ad2ed482e134d
no access for tx:  0xb4225d00a31511e492f4f12bb860e51a028b2b793c83a19b44fafa256b61719e
no access for tx:  0xd4d14a9de73b731c86be69619cc23e0360e6f6d84bc194b4b99cae89e8422b1f
no access for tx:  0x4612bb72f7fc826e3769700d409d3b93d8c5b0c93d12505dc0231b5264b4c94e
no access for tx:  0xe007ef332d9edd3042d0c42fef1226d85dba891d9712427bff9c3672a15f07d4
no access for tx:  0x9af0fa7569d4299cc96a34b081da0f87d29e237f47dbd4c5e6f0485112c5927e
no access for tx:  0x39b66b0da9849425502087517c1bf6c112a05efb486f356b46bd40935877316d
no access for tx:  0x368fb36e2d932498f825b4ed3491b288ea607641b7c4675c9517c51ac429f239
no access for tx:  0x4459e4ed6fb7e4840faee557395a52398da72397f340046c3b0fe5a8214a55a3
no access for tx:  0x6c58c2d67929886f2f2b9f92e63917d3f118927095509a76243515b2637625fd
no access for tx:  0x3e808ec56bd3631044e7c57cde7ab1a72ca37430adae09c0c33ff2e0f1721a30
no access for tx:  0xf9b3f3af86d50a94345828aa9b004751d9c5eb7729d71735dadd50ee01ea1ad1
no access for tx:  0x0fbaa38950c78c0923e99a9f972d1c86ae028def80a4859e7ab1ddae5a5d8935
no access for tx:  0x10f38cdc6ab50e32c7ef362ec2466f0e035af52d59a3861ad89953043a28a0bc
no access for tx:  0x54ea264884a0050c9de3ff1c2b986441b85b85b8113cee6ecbef767f072b028a
no access for tx:  0x1aaa21d7fafecf87805390ee583433a8ae64b125dff3d9da54b15e27838b6519
no access for tx:  0x03a154fb6b6357a1a7be970ae742671592fa91cb8323a588165864a142e9848d
no access for tx:  0x13cadf9d747667c3f8a30311bd115820b80561558ea787f2df2dff0cd6aa81ed
no access for tx:  0x75060876ba6e9aa48452a7c7948911ce040b317f685b1dd3d23405f00c149a3b
no access for tx:  0xd2deee0b65a90a06c90eaba52eb0cca414e38320fc1b161d51b70447edac4344
no access for tx:  0xc1e9dcb5d3cacd7edd372e4d932ed8ad7321a6348f8e05f4df41e0dca3022b79
no access for tx:  0xaa935ed857e5009089e3845049f37f7bb101269b579f73777f604349a85775b5
no access for tx:  0x75fbf3e9cbc36ff934c3b6aec8cd11eb5b68665d592a401e9adf70ed9e2b582d
no access for tx:  0xf52bba33928de5a73843386f8f29c16bd91c9eb3389d64d822b862c36f6bafcb
no access for tx:  0x7a42cfb9898b28140a548967cf313cb66ba836452928dd5e22c097151a8d86d2
no access for tx:  0x0f2853d9e2f8fc28afa919a916d4c2b727d64bd23db64e79e644c6d064cc771c
no access for tx:  0x58be00836ad288a5e12f6754dc0b83d32aad0014e0d22b2edc20984b9bfffbec
no access for tx:  0x9bc493320c73c7c089b15c792235b3ae66eacb069e00ee43799a6ac61c5e0266
no access for tx:  0x4cc1797a1e99546149408b9c28ddccc3dc776fcb16e43f5137b686835f992dae
no access for tx:  0x60789c1acec62a5b2c2b3f7dd8eb5652a502dcabc0e30aa82d2ac2e4b04138b1
no access for tx:  0xe90d4c991917de6a73f25c3e4d4c31ed6253a863f7d3fabfabeef8307aa4eb72
no access for tx:  0x39f953ce3de23e4f822a3b03bc64cfe698364c4bfcf79a03540200ca457f06e2
no access for tx:  0xa52b6af0d244804abf357180b8d8a83da33d5ba74ae2f3da4c023b11d844e8b1
no access for tx:  0x60505e45ec49df258b0449ec08f7e00adc17101ed8400e3f5487b6c4c987917a
no access for tx:  0xf4fe6871f2c11884886e7938c74e47824d01516b0fbe175d60f52d3eb45e0c6f
no access for tx:  0xda57aa1d4d99bbaa6c020c5644f4817c6a85e87f896312366cb15efca1694624
no access for tx:  0x6ce1a2f7463d71f2a79b61abf82f3945746cdc8274db14f2bb691ff28f1e0efd
no access for tx:  0xdf953ea111e0476d1475b0788a744c932f0716d3b656b0c51174ead8f9be6ab1
no access for tx:  0xa1421a1184ebc207c6d827a8af0f4de0c5af7f2407f6c208874d05b93601627d
no access for tx:  0x25ed021925172b9c7b1fa1c5982a242f436e16c18013a990206d9ca18b495cda
no access for tx:  0xee78040d3df913a98d7e99bdce8098f5a6b8b2c26e40eea1193b8a891bafa615
no access for tx:  0xb7343640c407b80fbca89388e361b2b09264610c9cf6197b52ffcc089d4b1b66
no access for tx:  0xc12bd762dd6a2d7213c8a057a3c3439e8e9c9ba847f9e1554d6f01ab97ec649e
no access for tx:  0x6a3bdd394b3a32e5a3ce652976a6f5d31c4054a3fe6011a0ff0c39e991739705
no access for tx:  0x672920ecd8c39582de164bc3e3082c103e7a201c90ce8603f1e3f53283c65b39
